Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
92,Dejounte Murray,PG,21,SAS,81,1743,15.1,.485,.056,.243,7.0,22.4,14.6,20.2,2.8,1.5,16.6,20.7,,-0.2,3.4,3.2,.087,,-1.6,2.2,0.5,1.1,murrade01
93,Austin Rivers,SG,25,LAC,61,2057,12.6,.526,.447,.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,,1.4,1.0,2.4,.056,,-0.3,-0.9,-1.2,0.4,riverau01
94,Jeff Teague,PG,29,MIN,70,2311,16.4,.553,.287,.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,,3.4,1.4,4.9,.101,,1.1,-0.7,0.4,1.4,teaguje01
95,Frank Kaminsky,PF,24,CHO,79,1835,14.4,.545,.383,.271,2.7,14.5,8.5,11.0,1.0,0.9,7.6,20.5,,2.3,1.3,3.6,.094,,0.6,-0.8,-0.2,0.8,kaminfr01
96,Dirk Nowitzki,C,39,DAL,77,1900,16.7,.575,.445,.142,1.2,25.2,12.8,10.4,1.1,2.1,6.0,20.5,,2.6,2.2,4.8,.121,,1.7,0.6,2.3,2.1,nowitdi01
97,Pau Gasol,C,37,SAS,77,1812,18.9,.539,.191,.333,7.8,30.2,19.0,20.1,0.7,3.6,13.1,20.4,,2.7,3.3,6.0,.159,,1.5,1.9,3.4,2.5,gasolpa01
98,Robin Lopez,C,29,CHI,64,1690,14.7,.552,.022,.140,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,,1.2,0.7,1.9,.055,,-0.9,-1.3,-2.2,-0.1,lopezro01
99,Terry Rozier,PG,23,BOS,80,2068,15.1,.520,.503,.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,,2.2,3.4,5.6,.130,,0.9,1.2,2.1,2.1,roziete01
100,Spencer Dinwiddie,PG,24,BRK,80,2306,15.9,.527,.517,.320,1.8,10.2,6.0,35.0,1.4,0.7,11.8,20.3,,4.3,1.4,5.7,.118,,1.3,-0.7,0.6,1.5,dinwisp01
101,Myles Turner,C,21,IND,65,1836,16.6,.567,.246,.322,5.8,19.8,12.8,7.0,1.0,5.7,11.6,20.0,,2.2,2.5,4.7,.122,,-0.6,0.4,-0.2,0.8,turnemy01
102,Mario Hezonja,SF,22,ORL,75,1657,13.7,.544,.433,.170,2.7,16.1,9.3,10.0,2.4,1.5,11.5,19.9,,0.5,1.8,2.3,.066,,-0.9,0.4,-0.5,0.6,hezonma01
103,DeMarre Carroll,PF,31,BRK,73,2180,14.3,.550,.498,.313,5.1,18.4,11.7,10.5,1.3,1.0,10.3,19.8,,2.3,1.8,4.1,.091,,0.5,-0.4,0.2,1.2,carrode01
104,Bogdan Bogdanović,SG,25,SAC,78,2175,13.5,.556,.426,.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,,1.8,1.1,2.9,.064,,-0.6,-0.9,-1.5,0.3,bogdabo01
105,Markieff Morris,PF,28,WAS,73,1968,13.2,.566,.301,.186,4.3,19.2,11.8,11.0,1.4,1.7,14.6,19.5,,1.2,2.1,3.3,.080,,-1.3,0.1,-1.3,0.4,morrima02
106,Shabazz Napier,PG,26,POR,74,1535,14.2,.544,.411,.260,1.9,10.1,6.0,14.6,2.6,0.7,13.2,19.5,,1.2,2.0,3.2,.101,,-0.7,1.4,0.7,1.0,napiesh01
107,Clint Capela,C,23,HOU,74,2034,24.5,.650,.001,.380,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,,6.2,4.1,10.2,.242,,2.4,1.0,3.4,2.8,capelca01
108,Serge Ibaka,PF,28,TOR,76,2093,14.7,.574,.379,.151,4.3,21.0,12.8,4.4,0.7,3.8,9.7,19.4,,2.1,3.0,5.1,.117,,-0.1,0.0,-0.1,1.0,ibakase01
109,Kelly Oubre Jr.,SF,22,WAS,81,2231,11.9,.534,.467,.295,3.0,15.4,9.2,6.4,1.8,1.4,9.2,19.4,,1.4,2.3,3.7,.080,,-1.6,-0.1,-1.7,0.2,oubreke01
110,Marcus Smart,SG,23,BOS,54,1614,10.8,.479,.483,.258,3.0,9.8,6.4,23.7,2.2,1.2,18.4,19.4,,-0.6,2.5,1.9,.056,,-2.1,1.0,-1.2,0.3,smartma01
111,Jayson Tatum,SF,19,BOS,80,2443,15.2,.586,.290,.309,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.4,,3.0,4.0,7.1,.139,,0.0,1.2,1.2,2.0,tatumja01
112,Jeff Green,PF,31,CLE,78,1828,14.8,.587,.275,.379,3.7,11.2,7.6,8.0,1.1,1.6,9.4,19.3,,3.1,0.8,3.9,.103,,-0.3,-1.5,-1.8,0.1,greenje02
113,James Johnson,PF,30,MIA,73,1943,15.8,.575,.301,.264,3.5,17.2,10.3,22.5,1.8,2.2,17.1,19.1,,2.2,2.8,5.0,.123,,0.0,1.6,1.6,1.7,johnsja01
114,Fred VanVleet,PG,23,TOR,76,1520,15.9,.556,.479,.185,1.9,11.5,6.8,22.8,2.2,1.0,11.2,19.1,,2.7,2.0,4.7,.149,,1.4,1.0,2.4,1.7,vanvlfr01
115,Bojan Bogdanović,SF,28,IND,80,2464,13.9,.605,.453,.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19.0,,3.8,1.6,5.4,.105,,0.5,-1.2,-0.7,0.8,bogdabo02
116,Allen Crabbe,SG,25,BRK,75,2197,12.3,.558,.643,.163,1.3,14.4,7.8,8.4,1.0,1.2,8.1,19.0,,1.8,1.4,3.2,.070,,0.0,-0.7,-0.7,0.7,crabbal01
117,Ersan İlyasova,PF,30,TOT,69,1729,14.9,.558,.413,.220,7.6,18.0,12.9,7.9,1.7,1.3,9.7,18.7,,2.2,1.9,4.0,.112,,-0.2,-0.4,-0.6,0.6,ilyaser01
118,D.J. Augustin,PG,30,ORL,75,1760,15.4,.615,.504,.350,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,,3.3,0.8,4.1,.110,,1.0,-1.2,-0.2,0.8,augusdj01
119,Tyler Johnson,PG,25,MIA,72,2052,13.0,.549,.456,.181,1.9,11.7,6.8,12.4,1.5,1.4,9.5,18.6,,1.9,2.3,4.2,.097,,-0.5,0.2,-0.3,0.9,johnsty01
120,Dillon Brooks,SF,22,MEM,82,2350,9.8,.531,.342,.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,,0.1,1.1,1.2,.024,,-2.9,-1.1,-4.0,-1.2,brookdi01
121,Derrick Favors,C,26,UTA,77,2153,18.8,.593,.090,.306,10.6,18.5,14.6,7.8,1.3,3.2,9.9,18.5,,4.5,3.5,8.0,.179,,0.9,0.7,1.5,1.9,favorde01
122,Tyler Ulis,PG,22,PHO,71,1658,10.1,.465,.265,.183,1.5,6.8,4.1,28.0,2.0,0.3,17.6,18.5,,-0.7,0.5,-0.2,-0.006,,-3.0,-1.4,-4.4,-1.0,ulisty01
123,Al Horford,C,31,BOS,72,2277,17.6,.575,.300,.159,5.0,20.2,12.7,23.6,0.9,2.9,14.1,18.4,,4.0,3.8,7.8,.165,,2.4,2.0,4.4,3.7,horfoal01
